participant_id,mode,item_id,correct_verification,verification_time_s,nasa_tlx,confidence_1_5
L06,Textual rationale,CV_01,False,75,55.2,2.7
L07,Textual rationale,CV_01,True,56,48.2,3.6
L08,Textual rationale,CV_01,False,111,43.5,3.8
L09,Textual rationale,CV_01,True,122,53.0,4.0
L10,Textual rationale,CV_01,False,95,62.4,4.5
L11,Textual rationale,CV_01,False,100,61.1,3.7
L12,Textual rationale,CV_01,True,98,52.5,3.4
L01,Textual rationale,CV_02,False,72,59.9,4.1
L02,Textual rationale,CV_02,True,68,66.1,2.6
L03,Textual rationale,CV_02,True,90,48.1,3.3
L04,Textual rationale,CV_02,False,121,54.7,3.9
L05,Textual rationale,CV_02,False,164,51.0,3.3
L06,Textual rationale,CV_02,True,106,54.4,3.2
L07,Textual rationale,CV_02,True,91,48.2,2.9
L08,Textual rationale,CV_02,True,85,53.1,3.1
L09,Textual rationale,CV_02,True,112,64.1,3.7
L10,Textual rationale,CV_02,True,126,55.8,3.4
L11,Textual rationale,CV_02,False,106,65.3,4.5
L12,Textual rationale,CV_02,False,130,57.3,3.4
L01,Textual rationale,CV_03,False,87,46.4,3.7
L02,Textual rationale,CV_03,True,95,56.9,3.4
L03,Textual rationale,CV_03,False,106,53.2,4.1
L04,Textual rationale,CV_03,True,241,52.9,3.4
L05,Textual rationale,CV_03,True,82,35.4,3.5
L06,Textual rationale,CV_03,False,89,54.2,3.9
L07,Textual rationale,CV_03,True,64,47.8,3.8
L08,Textual rationale,CV_03,False,149,49.1,4.3
L09,Textual rationale,CV_03,False,118,56.4,4.2
L10,Textual rationale,CV_03,False,73,67.2,3.1
L11,Textual rationale,CV_03,True,75,66.2,3.6
L12,Textual rationale,CV_03,False,79,60.4,3.4
L01,Textual rationale,CV_04,True,94,64.0,2.9
L02,Textual rationale,CV_04,True,109,43.1,3.6
L03,Textual rationale,CV_04,True,109,46.1,3.1
L04,Textual rationale,CV_04,False,100,48.7,3.5
L05,Textual rationale,CV_04,True,71,43.0,3.9
L06,Textual rationale,CV_04,True,158,60.8,3.7
L07,Textual rationale,CV_04,True,77,48.8,4.0
L08,Textual rationale,CV_04,True,78,52.9,3.6
L09,Textual rationale,CV_04,False,123,66.9,2.8
L10,Textual rationale,CV_04,True,98,46.5,4.1
L11,Textual rationale,CV_04,True,117,43.9,3.2
L12,Textual rationale,CV_04,False,61,52.4,3.2
L01,Textual rationale,CV_05,True,91,54.2,3.9
L02,Textual rationale,CV_05,True,106,59.0,2.3
L03,Textual rationale,CV_05,True,68,56.7,3.4
L04,Textual rationale,CV_05,True,85,47.2,3.0
L05,Textual rationale,CV_05,True,87,60.8,3.8
L06,Textual rationale,CV_05,True,56,57.1,3.5
L07,Textual rationale,CV_05,False,63,63.5,4.4
L08,Textual rationale,CV_05,True,111,46.8,2.6
L09,Textual rationale,CV_05,True,114,61.1,3.2
L10,Textual rationale,CV_05,False,145,47.0,3.4
L11,Textual rationale,CV_05,True,117,61.4,3.1
L12,Textual rationale,CV_05,True,167,56.2,3.2
L01,Textual rationale,CV_06,True,105,56.3,3.2
L02,Textual rationale,CV_06,True,115,45.2,3.1
L03,Textual rationale,CV_06,False,98,51.4,3.1
L04,Textual rationale,CV_06,True,95,66.6,3.6
L05,Textual rationale,CV_06,True,153,45.2,4.0
L06,Textual rationale,CV_06,True,145,54.9,2.8
L07,Textual rationale,CV_06,True,57,59.6,3.9
L08,Textual rationale,CV_06,True,75,35.9,3.0
L09,Textual rationale,CV_06,True,85,52.8,4.0
L10,Textual rationale,CV_06,True,135,52.8,2.5
L11,Textual rationale,CV_06,True,108,43.4,3.7
L12,Textual rationale,CV_06,True,54,32.8,4.2
L01,Proof graph,CV_01,False,25,34.6,4.4
L02,Proof graph,CV_01,True,39,27.1,4.0
L03,Proof graph,CV_01,False,50,41.0,3.6
L04,Proof graph,CV_01,True,76,35.8,5
L05,Proof graph,CV_01,True,39,55.2,4.3
L06,Proof graph,CV_01,True,55,37.3,4.2
L07,Proof graph,CV_01,True,38,27.7,4.7
L08,Proof graph,CV_01,True,75,42.1,5
L09,Proof graph,CV_01,False,90,42.1,4.4
L10,Proof graph,CV_01,True,72,48.7,4.1
L11,Proof graph,CV_01,True,81,34.5,4.3
L12,Proof graph,CV_01,True,118,32.3,4.1
L01,Proof graph,CV_02,True,43,36.1,4.1
L02,Proof graph,CV_02,True,47,42.8,4.1
L03,Proof graph,CV_02,True,155,32.0,4.4
L04,Proof graph,CV_02,True,49,43.6,3.9
L05,Proof graph,CV_02,True,88,38.0,3.9
L06,Proof graph,CV_02,True,49,23.7,3.6
L07,Proof graph,CV_02,True,70,39.5,4.0
L08,Proof graph,CV_02,True,31,36.6,4.6
L09,Proof graph,CV_02,True,81,33.6,5
L10,Proof graph,CV_02,True,52,32.5,4.3
L11,Proof graph,CV_02,True,59,33.7,4.2
L12,Proof graph,CV_02,True,41,34.9,4.4
L01,Proof graph,CV_03,True,139,36.5,4.2
L02,Proof graph,CV_03,True,48,38.4,4.4
L03,Proof graph,CV_03,True,72,37.8,3.9
L04,Proof graph,CV_03,True,101,31.3,4.4
L05,Proof graph,CV_03,True,79,29.5,3.8
L06,Proof graph,CV_03,True,69,34.7,4.5
L07,Proof graph,CV_03,True,65,39.4,4.0
L08,Proof graph,CV_03,False,36,26.0,4.2
L09,Proof graph,CV_03,True,56,45.5,3.9
L10,Proof graph,CV_03,True,65,32.0,4.0
L11,Proof graph,CV_03,True,55,37.9,4.7
L12,Proof graph,CV_03,True,27,32.2,5
L01,Proof graph,CV_04,True,149,32.7,5
L02,Proof graph,CV_04,True,73,26.1,3.8
L03,Proof graph,CV_04,False,98,36.0,5
L04,Proof graph,CV_04,False,61,38.1,4.8
L05,Proof graph,CV_04,True,59,39.1,4.1
L06,Proof graph,CV_04,True,59,44.8,5
L07,Proof graph,CV_04,True,58,48.2,3.6
L08,Proof graph,CV_04,False,61,41.6,4.8
L09,Proof graph,CV_04,True,44,32.2,4.1
L10,Proof graph,CV_04,True,68,45.8,4.7
L11,Proof graph,CV_04,True,41,38.7,4.6
L12,Proof graph,CV_04,True,24,37.5,4.0
L01,Proof graph,CV_05,True,61,29.5,4.8
L02,Proof graph,CV_05,True,44,34.5,4.3
L03,Proof graph,CV_05,False,55,46.8,3.9
L04,Proof graph,CV_05,True,23,42.7,4.2
L05,Proof graph,CV_05,True,72,32.1,4.0
L06,Proof graph,CV_05,True,40,35.7,5
L07,Proof graph,CV_05,True,30,35.3,4.1
L08,Proof graph,CV_05,True,63,37.2,4.3
L09,Proof graph,CV_05,False,68,39.8,4.3
L10,Proof graph,CV_05,True,68,35.3,4.6
L11,Proof graph,CV_05,False,67,36.2,3.6
L12,Proof graph,CV_05,True,59,51.2,3.8
L01,Proof graph,CV_06,True,65,33.6,4.4
L02,Proof graph,CV_06,True,85,38.5,3.6
L03,Proof graph,CV_06,False,70,37.1,3.9
L04,Proof graph,CV_06,True,58,32.8,4.0
L05,Proof graph,CV_06,True,55,30.7,3.6
L06,Proof graph,CV_06,True,63,43.4,4.7
L07,Proof graph,CV_06,True,35,47.9,3.4
L08,Proof graph,CV_06,False,42,37.0,3.6
L09,Proof graph,CV_06,True,81,35.3,4.4
L10,Proof graph,CV_06,True,48,50.9,5
L11,Proof graph,CV_06,True,45,46.6,4.3
L12,Proof graph,CV_06,True,49,23.5,4.0
